day,rolling_r_21d
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,0.57
12,0.509
13,0.508
14,0.323
15,0.334
16,0.406
17,0.455
18,0.442
19,0.397
20,0.459
21,0.539
22,0.617
23,0.64
24,0.64
25,0.674
26,0.683
27,0.653
28,0.79
29,0.7
30,0.733
31,0.743
32,0.749
33,0.776
34,0.788
35,0.807
36,0.819
37,0.822
38,0.821
39,0.812
40,0.859
41,0.844
42,0.876
43,0.882
44,0.87
45,0.834
46,0.858
47,0.756
48,0.65
49,0.64
50,0.104
51,0.272
52,0.259
53,0.259
54,0.263
55,0.255
56,0.401
57,0.401
58,0.249
59,0.272
60,0.478
61,0.421
62,0.375
63,0.167
64,0.121
65,0.05
66,0.065
67,-0.034
68,0.071
69,0.146
70,0.098
71,0.092
72,0.066
73,0.157
74,0.097
75,0.066
76,0.066
77,0.202
78,0.208
79,0.197
80,0.212
81,0.189
82,0.191
83,0.346
84,0.312
85,0.404
86,0.426
87,0.451
88,0.472
89,0.398
90,0.377
91,0.377
92,0.379
93,0.415
94,0.361
95,0.394
96,0.429
97,0.5
98,0.42
99,0.435
100,0.471
101,0.46
102,0.376
103,0.348
104,0.383
105,0.515
106,0.59
107,0.544
108,0.43
109,0.183
110,0.21
111,0.235
112,0.279
113,0.298
114,0.0
115,0.0
116,0.0
117,0.026
118,0.013
119,0.013
120,-0.008
121,0.592
122,0.577
123,0.618
124,0.666
125,0.633
126,0.739
127,0.683
128,0.667
129,0.704
130,0.744
131,0.745
132,0.747
133,0.735
134,0.723
135,0.712
136,0.703
137,0.697
138,0.667
139,0.667
140,0.667
141,0.685
142,0.687
143,0.678
144,0.665
145,0.665
146,0.725
147,0.613
148,0.621
149,0.599
150,0.615
151,0.238
152,0.114
153,0.148
154,0.225
155,0.308
156,0.322
157,0.0
158,-0.178
159,-0.162
160,-0.176
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
