week,violence,diplomatic,n_days,pearson_r_all_weeks,p_all_weeks,spearman_rho_all_weeks,p_spearman,pearson_r_full_weeks_only,p_full_weeks_only
0,177,10,7,0.06,0.7764,0.36,0.0773,0.018,0.9322
1,127,11,7,0.06,0.7764,0.36,0.0773,0.018,0.9322
2,128,16,7,0.06,0.7764,0.36,0.0773,0.018,0.9322
3,113,25,7,0.06,0.7764,0.36,0.0773,0.018,0.9322
4,99,26,7,0.06,0.7764,0.36,0.0773,0.018,0.9322
5,53,24,7,0.06,0.7764,0.36,0.0773,0.018,0.9322
6,16,34,7,0.06,0.7764,0.36,0.0773,0.018,0.9322
7,15,28,7,0.06,0.7764,0.36,0.0773,0.018,0.9322
8,26,37,7,0.06,0.7764,0.36,0.0773,0.018,0.9322
9,26,27,7,0.06,0.7764,0.36,0.0773,0.018,0.9322
10,20,42,7,0.06,0.7764,0.36,0.0773,0.018,0.9322
11,14,37,7,0.06,0.7764,0.36,0.0773,0.018,0.9322
12,28,29,7,0.06,0.7764,0.36,0.0773,0.018,0.9322
13,24,12,7,0.06,0.7764,0.36,0.0773,0.018,0.9322
14,17,8,7,0.06,0.7764,0.36,0.0773,0.018,0.9322
15,8,12,7,0.06,0.7764,0.36,0.0773,0.018,0.9322
16,7,7,7,0.06,0.7764,0.36,0.0773,0.018,0.9322
17,5,4,7,0.06,0.7764,0.36,0.0773,0.018,0.9322
18,16,5,7,0.06,0.7764,0.36,0.0773,0.018,0.9322
19,49,2,7,0.06,0.7764,0.36,0.0773,0.018,0.9322
20,22,2,7,0.06,0.7764,0.36,0.0773,0.018,0.9322
21,7,5,7,0.06,0.7764,0.36,0.0773,0.018,0.9322
22,3,5,7,0.06,0.7764,0.36,0.0773,0.018,0.9322
23,6,5,7,0.06,0.7764,0.36,0.0773,0.018,0.9322
24,1,1,2,0.06,0.7764,0.36,0.0773,0.018,0.9322
