criterion,min_segment_days,k_selected,break_days,recovers_day41,recovers_day130,recovers_day153,n_macro_recovered_within_7d
parent,6,6,"7,23,40,131,147",True,True,True,3
parent,8,6,"10,23,40,131,147",True,True,True,3
parent,10,6,"11,23,40,131,147",True,True,True,3
parent,14,5,"15,40,131,147",True,True,True,3
yao,6,5,"15,40,131,147",True,True,True,3
yao,8,5,"15,40,131,147",True,True,True,3
yao,10,5,"15,40,131,147",True,True,True,3
yao,14,5,"15,40,131,147",True,True,True,3
lwz,6,3,"15,40",True,False,False,1
lwz,8,3,"15,40",True,False,False,1
lwz,10,3,"15,40",True,False,False,1
lwz,14,3,"15,40",True,False,False,1
