,strikes,retal,strikes_civfac,strikes_milfac,health_insults,hssi_pct,iran_civ,iran_mil,leb_all,killed_total
strikes,1.0,0.629***,0.832***,0.873***,0.17*,-0.486***,0.748***,0.726***,0.381***,0.587***
retal,0.831***,1.0,0.628***,0.642***,0.263***,-0.722***,0.715***,0.688***,0.559***,0.702***
strikes_civfac,0.813***,0.671***,1.0,0.706***,0.232**,-0.485***,0.803***,0.75***,0.341***,0.547***
strikes_milfac,0.915***,0.766***,0.569***,1.0,0.149,-0.498***,0.749***,0.738***,0.405***,0.605***
health_insults,0.24**,0.226**,0.256***,0.166*,1.0,-0.238**,0.255***,0.195*,0.23**,0.268***
hssi_pct,-0.72***,-0.859***,-0.694***,-0.606***,-0.183*,1.0,-0.636***,-0.695***,-0.714***,-0.768***
iran_civ,0.667***,0.742***,0.72***,0.524***,0.209**,-0.771***,1.0,0.912***,0.506***,0.718***
iran_mil,0.803***,0.865***,0.757***,0.708***,0.176*,-0.911***,0.864***,1.0,0.559***,0.746***
leb_all,0.288***,0.372***,0.305***,0.221**,0.104,-0.529***,0.422***,0.445***,1.0,0.92***
killed_total,0.667***,0.753***,0.658***,0.564***,0.178*,-0.862***,0.809***,0.879***,0.815***,1.0
