outcome,lag_days,pearson_r,p,sig,n
killed_total,0,0.6674,0.0,***,170
killed_total,1,0.7327,0.0,***,169
killed_total,2,0.6519,0.0,***,168
killed_total,3,0.707,0.0,***,167
killed_total,4,0.654,0.0,***,166
killed_total,5,0.6923,0.0,***,165
killed_total,6,0.7373,0.0,***,164
killed_total,7,0.7082,0.0,***,163
iran_civ,0,0.6669,0.0,***,170
iran_civ,1,0.6048,0.0,***,169
iran_civ,2,0.6549,0.0,***,168
iran_civ,3,0.6894,0.0,***,167
iran_civ,4,0.6952,0.0,***,166
iran_civ,5,0.6973,0.0,***,165
iran_civ,6,0.6762,0.0,***,164
iran_civ,7,0.5902,0.0,***,163
leb_all,0,0.2884,0.0001,***,170
leb_all,1,0.4601,0.0,***,169
leb_all,2,0.3225,0.0,***,168
leb_all,3,0.4484,0.0,***,167
leb_all,4,0.3657,0.0,***,166
leb_all,5,0.4056,0.0,***,165
leb_all,6,0.4758,0.0,***,164
leb_all,7,0.464,0.0,***,163
