sample,outcome,term,coef,se,p,sig,irr,converged,n
full,killed_total,const,2.17164,0.20986,0.0,***,,True,170
full,killed_total,strikes_milfac,-0.07088,0.11163,0.52545,,0.93157,True,170
full,killed_total,strikes_civfac,0.08076,0.14381,0.5744,,1.08411,True,170
full,killed_total,retal,0.24341,0.07228,0.00076,***,1.27559,True,170
full,killed_total,alpha,3.51426,0.42265,0.0,***,,True,170
full,iran_civ,const,-2.01605,0.26641,0.0,***,,True,170
full,iran_civ,strikes_milfac,-0.15661,0.08089,0.05284,,0.85504,True,170
full,iran_civ,strikes_civfac,0.48006,0.1206,7e-05,***,1.61618,True,170
full,iran_civ,retal,0.3666,0.05507,0.0,***,1.44282,True,170
full,iran_civ,alpha,1.57747,0.40994,0.00012,***,,True,170
major_combat,killed_total,const,4.687,0.16835,0.0,***,,True,40
major_combat,killed_total,strikes_milfac,0.01118,0.02311,0.62866,,1.01124,True,40
major_combat,killed_total,strikes_civfac,0.03353,0.03446,0.33062,,1.03409,True,40
major_combat,killed_total,retal,-0.0001,0.01844,0.99565,,0.9999,True,40
major_combat,killed_total,alpha,0.11438,0.02687,2e-05,***,,True,40
major_combat,iran_civ,const,1.63525,0.27524,0.0,***,,True,40
major_combat,iran_civ,strikes_milfac,-0.04987,0.03233,0.123,,0.95135,True,40
major_combat,iran_civ,strikes_civfac,0.14357,0.04999,0.00408,**,1.15439,True,40
major_combat,iran_civ,retal,0.06841,0.02823,0.01537,*,1.0708,True,40
major_combat,iran_civ,alpha,0.15254,0.04979,0.00219,**,,True,40
