model,sample,term,coef,se_hac,t,p,sig
M1_killed_total,full,const,12.80013,5.29795,2.41605,0.01569,*
M1_killed_total,full,strikes,10.45849,1.88886,5.53692,0.0,***
M1_killed_total,full,_R2,0.4454,,,,
M1_killed_total,full,_adjR2,0.4421,,,,
M1_killed_total,full,_N,170.0,,,,
M1_killed_total,full,_AIC,1753.63821,,,,
M2_killed_total,full,const,2.32389,4.04019,0.57519,0.56516,
M2_killed_total,full,strikes,2.12612,2.56569,0.82867,0.40729,
M2_killed_total,full,retal,8.04711,1.52823,5.26565,0.0,***
M2_killed_total,full,_R2,0.57206,,,,
M2_killed_total,full,_adjR2,0.56694,,,,
M2_killed_total,full,_N,170.0,,,,
M2_killed_total,full,_AIC,1711.56145,,,,
M3_killed_total,full,const,1.17998,4.44557,0.26543,0.79068,
M3_killed_total,full,strikes_milfac,-1.63455,2.50677,-0.65205,0.51437,
M3_killed_total,full,strikes_civfac,11.59457,4.61096,2.51457,0.01192,*
M3_killed_total,full,retal,7.72502,1.47979,5.22035,0.0,***
M3_killed_total,full,_R2,0.61102,,,,
M3_killed_total,full,_adjR2,0.60399,,,,
M3_killed_total,full,_N,170.0,,,,
M3_killed_total,full,_AIC,1697.33565,,,,
M4_killed_total,full,const,108.97267,20.96602,5.19758,0.0,***
M4_killed_total,full,strikes_milfac,1.82668,1.99116,0.91739,0.35894,
M4_killed_total,full,strikes_civfac,2.37401,4.3627,0.54416,0.58633,
M4_killed_total,full,retal,0.16468,1.64851,0.0999,0.92043,
M4_killed_total,full,First Ceasefire,-96.30065,18.70882,-5.14734,0.0,***
M4_killed_total,full,Resumption,-111.84596,17.7993,-6.28373,0.0,***
M4_killed_total,full,Diplomatic Pause,-108.47135,20.33154,-5.33513,0.0,***
M4_killed_total,full,_R2,0.76377,,,,
M4_killed_total,full,_adjR2,0.75508,,,,
M4_killed_total,full,_N,170.0,,,,
M4_killed_total,full,_AIC,1618.55196,,,,
M1_iran_civ,full,const,0.3173,0.50856,0.62392,0.53268,
M1_iran_civ,full,strikes,1.26699,0.25093,5.04917,0.0,***
M1_iran_civ,full,_R2,0.44473,,,,
M1_iran_civ,full,_adjR2,0.44142,,,,
M1_iran_civ,full,_N,170.0,,,,
M1_iran_civ,full,_AIC,1036.43882,,,,
M2_iran_civ,full,const,-0.88917,0.33984,-2.61643,0.00889,**
M2_iran_civ,full,strikes,0.30741,0.3748,0.82021,0.4121,
M2_iran_civ,full,retal,0.92673,0.27009,3.43112,0.0006,***
M2_iran_civ,full,_R2,0.55902,,,,
M2_iran_civ,full,_adjR2,0.55374,,,,
M2_iran_civ,full,_N,170.0,,,,
M2_iran_civ,full,_AIC,999.2609,,,,
M3_iran_civ,full,const,-1.13837,0.36519,-3.11723,0.00183,**
M3_iran_civ,full,strikes_milfac,-0.47118,0.36527,-1.28994,0.19707,
M3_iran_civ,full,strikes_civfac,2.07141,0.37308,5.55226,0.0,***
M3_iran_civ,full,retal,0.89414,0.25979,3.44177,0.00058,***
M3_iran_civ,full,_R2,0.6519,,,,
M3_iran_civ,full,_adjR2,0.64561,,,,
M3_iran_civ,full,_N,170.0,,,,
M3_iran_civ,full,_AIC,961.05411,,,,
M4_iran_civ,full,const,6.58264,1.42159,4.63047,0.0,***
M4_iran_civ,full,strikes_milfac,-0.27466,0.34697,-0.79159,0.4286,
M4_iran_civ,full,strikes_civfac,1.31072,0.42706,3.0692,0.00215,**
M4_iran_civ,full,retal,0.39813,0.27637,1.44057,0.14971,
M4_iran_civ,full,First Ceasefire,-7.34074,1.2881,-5.69887,0.0,***
M4_iran_civ,full,Resumption,-7.22128,1.10788,-6.51814,0.0,***
M4_iran_civ,full,Diplomatic Pause,-6.84806,1.35282,-5.06204,0.0,***
M4_iran_civ,full,_R2,0.70363,,,,
M4_iran_civ,full,_adjR2,0.69272,,,,
M4_iran_civ,full,_N,170.0,,,,
M4_iran_civ,full,_AIC,939.70673,,,,
M1_killed_total,major_combat,const,116.15139,19.54532,5.94267,0.0,***
M1_killed_total,major_combat,strikes,1.0603,1.64096,0.64615,0.51818,
M1_killed_total,major_combat,_R2,0.00894,,,,
M1_killed_total,major_combat,_adjR2,-0.01714,,,,
M1_killed_total,major_combat,_N,40.0,,,,
M1_killed_total,major_combat,_AIC,424.24504,,,,
M2_killed_total,major_combat,const,111.9046,25.03836,4.46933,1e-05,***
M2_killed_total,major_combat,strikes,0.55882,2.44092,0.22894,0.81892,
M2_killed_total,major_combat,retal,0.75434,2.89464,0.2606,0.7944,
M2_killed_total,major_combat,_R2,0.01118,,,,
M2_killed_total,major_combat,_adjR2,-0.04227,,,,
M2_killed_total,major_combat,_N,40.0,,,,
M2_killed_total,major_combat,_AIC,426.15482,,,,
M3_killed_total,major_combat,const,105.95652,32.30159,3.28023,0.00104,**
M3_killed_total,major_combat,strikes_milfac,1.19532,2.83718,0.42131,0.67353,
M3_killed_total,major_combat,strikes_civfac,4.43202,5.37096,0.82518,0.40927,
M3_killed_total,major_combat,retal,0.16481,3.25866,0.05058,0.95966,
M3_killed_total,major_combat,_R2,0.03767,,,,
M3_killed_total,major_combat,_adjR2,-0.04252,,,,
M3_killed_total,major_combat,_N,40.0,,,,
M3_killed_total,major_combat,_AIC,427.06845,,,,
M1_iran_civ,major_combat,const,11.11238,3.10684,3.57675,0.00035,***
M1_iran_civ,major_combat,strikes,0.27938,0.34043,0.82066,0.41184,
M1_iran_civ,major_combat,_R2,0.02071,,,,
M1_iran_civ,major_combat,_adjR2,-0.00506,,,,
M1_iran_civ,major_combat,_N,40.0,,,,
M1_iran_civ,major_combat,_AIC,283.48032,,,,
M2_iran_civ,major_combat,const,8.17924,1.86611,4.38304,1e-05,***
M2_iran_civ,major_combat,strikes,-0.06698,0.51913,-0.12903,0.89733,
M2_iran_civ,major_combat,retal,0.521,0.39992,1.30278,0.19265,
M2_iran_civ,major_combat,_R2,0.05624,,,,
M2_iran_civ,major_combat,_adjR2,0.00522,,,,
M2_iran_civ,major_combat,_N,40.0,,,,
M2_iran_civ,major_combat,_AIC,284.00237,,,,
M3_iran_civ,major_combat,const,3.19612,2.44105,1.30932,0.19043,
M3_iran_civ,major_combat,strikes_milfac,-0.5932,0.58571,-1.01279,0.31116,
M3_iran_civ,major_combat,strikes_civfac,1.68621,0.46846,3.5995,0.00032,***
M3_iran_civ,major_combat,retal,0.74656,0.53715,1.38986,0.16457,
M3_iran_civ,major_combat,_R2,0.18381,,,,
M3_iran_civ,major_combat,_adjR2,0.11579,,,,
M3_iran_civ,major_combat,_N,40.0,,,,
M3_iran_civ,major_combat,_AIC,280.1933,,,,
