moderator,sample,outcome,term,coef,se_hac,t,p,sig
hssi_pct,full,iran_civ,const,3.66419,0.69013,5.30941,0.0,***
hssi_pct,full,iran_civ,strikes_c,0.63611,0.25636,2.48137,0.01309,*
hssi_pct,full,iran_civ,W_c,-0.1357,0.0354,-3.8331,0.00013,***
hssi_pct,full,iran_civ,strikes_x_W,0.00586,0.00594,0.98733,0.32348,
hssi_pct,full,iran_civ,_R2,0.62723,,,,
hssi_pct,full,iran_civ,_N,170.0,,,,
hssi_pct,kinetic_days,iran_civ,const,4.63312,0.80853,5.73031,0.0,***
hssi_pct,kinetic_days,iran_civ,strikes_c,0.68038,0.26925,2.52697,0.01151,*
hssi_pct,kinetic_days,iran_civ,W_c,-0.14053,0.03505,-4.00906,6e-05,***
hssi_pct,kinetic_days,iran_civ,strikes_x_W,0.00821,0.00635,1.29361,0.1958,
hssi_pct,kinetic_days,iran_civ,_R2,0.61787,,,,
hssi_pct,kinetic_days,iran_civ,_N,138.0,,,,
facil_damage_pct,full,iran_civ,const,4.37469,0.75284,5.81093,0.0,***
facil_damage_pct,full,iran_civ,strikes_c,0.62635,0.27691,2.26196,0.0237,*
facil_damage_pct,full,iran_civ,W_c,-0.19103,0.0375,-5.09355,0.0,***
facil_damage_pct,full,iran_civ,strikes_x_W,0.0145,0.00527,2.75271,0.00591,**
facil_damage_pct,full,iran_civ,_R2,0.69435,,,,
facil_damage_pct,full,iran_civ,_N,170.0,,,,
facil_damage_pct,kinetic_days,iran_civ,const,5.27769,0.88894,5.93707,0.0,***
facil_damage_pct,kinetic_days,iran_civ,strikes_c,0.59668,0.27387,2.17874,0.02935,*
facil_damage_pct,kinetic_days,iran_civ,W_c,-0.1841,0.03624,-5.07951,0.0,***
facil_damage_pct,kinetic_days,iran_civ,strikes_x_W,0.01477,0.00532,2.77866,0.00546,**
facil_damage_pct,kinetic_days,iran_civ,_R2,0.67825,,,,
facil_damage_pct,kinetic_days,iran_civ,_N,138.0,,,,
phase(Resumption),combat+resumption,iran_civ,const,12.59795,1.87185,6.73023,0.0,***
phase(Resumption),combat+resumption,iran_civ,strikes_c,0.27938,0.34043,0.82066,0.41184,
phase(Resumption),combat+resumption,iran_civ,resumption,-10.73907,1.90929,-5.62464,0.0,***
phase(Resumption),combat+resumption,iran_civ,strikes_x_resumption,0.05377,0.40366,0.1332,0.89404,
phase(Resumption),combat+resumption,iran_civ,_N,63.0,,,,
