day,date,phase,strikes,retal,strikes_civfac,strikes_milfac,health_insults,hssi,hssi_pct,facil_damage_bench,facil_damage_pct,iran_civ,iran_mil,us_mil,leb_all,isr_mil,killed_total,cum_iran_daily,cum_leb_daily,snap_iranian_killed,snap_lebanese_killed,snap_displaced,snap_children_killed,conf_high_share,strike_day,kinetic_day
1,2026-02-28,Major Combat,16,16,4,11,0,0,0.0,2.066666666666667,0.668824163969795,5,65,0,0,0,70,70,0,,,,,0.65,1,1
2,2026-03-01,Major Combat,17,17,2,15,0,0,0.0,4.133333333333334,1.33764832793959,10,98,6,0,0,114,178,0,,,,,0.703125,1,1
3,2026-03-02,Major Combat,16,20,2,14,1,1,4.761904761904762,6.2,2.0064724919093853,15,122,0,44,0,181,315,44,,,,,0.6142857142857143,1,1
4,2026-03-03,Major Combat,7,15,2,5,0,1,4.761904761904762,8.266666666666667,2.67529665587918,12,106,0,58,0,176,433,102,,,,,0.5,1,1
5,2026-03-04,Major Combat,5,15,2,3,0,1,4.761904761904762,10.333333333333334,3.3441208198489756,35,90,0,64,0,189,558,166,,,,,0.4634146341463415,1,1
6,2026-03-05,Major Combat,5,13,2,3,0,1,4.761904761904762,12.4,4.0129449838187705,20,82,0,68,0,170,660,234,,,,,0.41025641025641024,1,1
7,2026-03-06,Major Combat,6,9,2,4,0,1,4.761904761904762,14.466666666666667,4.6817691477885655,15,73,0,61,0,149,748,295,,,,,0.3783783783783784,1,1
8,2026-03-07,Major Combat,10,11,5,5,0,1,4.761904761904762,16.533333333333335,5.35059331175836,25,114,1,75,0,215,887,370,,,,,0.45098039215686275,1,1
9,2026-03-08,Major Combat,10,8,5,5,0,1,4.761904761904762,18.6,6.019417475728156,18,98,0,58,0,174,1003,428,,,,,0.42,1,1
10,2026-03-09,Major Combat,8,8,5,3,0,1,4.761904761904762,20.666666666666668,6.688241639697951,10,65,0,48,0,123,1078,476,,,,,0.35555555555555557,1,1
11,2026-03-10,Major Combat,8,8,6,2,1,2,9.523809523809524,22.733333333333334,7.357065803667746,8,65,0,40,0,113,1151,516,,,,,0.37209302325581395,1,1
12,2026-03-11,Major Combat,7,12,4,3,0,2,9.523809523809524,24.8,8.025889967637541,45,78,0,54,0,177,1274,570,,,,,0.4888888888888889,1,1
13,2026-03-12,Major Combat,9,9,5,4,1,3,14.285714285714286,26.866666666666667,8.694714131607334,20,91,6,85,4,206,1385,655,,,,,0.43478260869565216,1,1
14,2026-03-13,Major Combat,8,11,5,3,0,3,14.285714285714286,28.933333333333334,9.363538295577131,20,95,0,65,6,186,1500,720,1500.0,720.0,850000.0,125.0,0.46808510638297873,1,1
15,2026-03-14,Major Combat,4,8,2,1,0,3,14.285714285714286,31.0,10.032362459546926,15,80,0,55,2,152,1595,775,2133.3333333333335,770.0,862500.0,150.16666666666666,0.5,1,1
16,2026-03-15,Major Combat,3,6,2,1,0,3,14.285714285714286,42.5,13.754045307443366,10,70,0,50,0,130,1675,825,2766.666666666667,820.0,875000.0,175.33333333333334,0.43478260869565216,1,1
17,2026-03-16,Major Combat,2,13,1,1,0,3,14.285714285714286,54.0,17.475728155339805,8,65,0,48,2,123,1748,873,3400.0,870.0,887500.0,200.5,0.6296296296296297,1,1
18,2026-03-17,Major Combat,9,14,2,4,0,3,14.285714285714286,65.5,21.197411003236247,8,60,0,45,1,114,1816,918,4033.3333333333335,920.0,900000.0,225.66666666666669,0.6666666666666666,1,1
19,2026-03-18,Major Combat,8,9,4,2,0,3,14.285714285714286,77.0,24.919093851132686,10,55,0,50,1,116,1881,968,4666.666666666667,944.0,2550000.0,250.83333333333334,0.5161290322580645,1,1
20,2026-03-19,Major Combat,10,16,2,8,0,3,14.285714285714286,88.5,28.640776699029125,15,70,0,48,2,135,1966,1016,5300.0,968.0,4200000.0,276.0,0.6888888888888889,1,1
21,2026-03-20,Major Combat,13,13,2,10,0,3,14.285714285714286,100.0,32.362459546925564,12,75,0,33,0,120,2053,1049,5300.0,1001.0,4200000.0,322.0,0.5909090909090909,1,1
22,2026-03-21,Major Combat,8,16,1,3,0,3,14.285714285714286,111.5,36.08414239482201,8,55,0,40,0,103,2116,1089,5300.0,1001.0,4200000.0,322.0,0.75,1,1
23,2026-03-22,Major Combat,2,5,0,2,0,3,14.285714285714286,123.0,39.80582524271845,6,50,0,45,0,101,2172,1134,5300.0,1001.0,4200000.0,296.0,0.7058823529411765,1,1
24,2026-03-23,Major Combat,4,9,3,1,0,3,14.285714285714286,134.5,43.52750809061489,8,45,0,28,0,81,2225,1162,5900.0,1029.0,4100000.0,338.0,0.52,1,1
25,2026-03-24,Major Combat,6,11,3,1,0,3,14.285714285714286,146.0,47.249190938511326,6,40,0,30,0,76,2271,1192,5900.0,1029.0,4200000.0,338.0,0.5555555555555556,1,1
26,2026-03-25,Major Combat,7,11,3,2,1,4,19.047619047619047,157.5,50.970873786407765,12,45,0,33,0,90,2328,1225,5900.0,1072.0,4200000.0,338.0,0.5357142857142857,1,1
27,2026-03-26,Major Combat,6,9,1,2,0,4,19.047619047619047,169.0,54.69255663430421,10,55,0,30,1,96,2393,1255,6100.0,1001.0,4200000.0,338.0,0.6,1,1
28,2026-03-27,Major Combat,9,10,3,6,0,4,19.047619047619047,180.5,58.41423948220065,8,60,0,28,1,97,2461,1283,6530.0,1116.0,4200000.0,338.0,0.5882352941176471,1,1
29,2026-03-28,Major Combat,5,13,2,3,0,4,19.047619047619047,192.0,62.13592233009709,6,50,0,25,1,82,2517,1308,6600.0,1116.0,4400000.0,338.0,0.5714285714285714,1,1
30,2026-03-29,Major Combat,8,10,4,3,1,5,23.80952380952381,203.5,65.85760517799353,8,45,0,30,0,83,2570,1338,6800.0,1189.0,4200000.0,355.0,0.43333333333333335,1,1
31,2026-03-30,Major Combat,1,7,1,0,1,6,28.571428571428573,215.0,69.57928802588997,17,48,1,28,0,94,2635,1366,7000.0,1247.0,4400000.0,357.0,0.4117647058823529,1,1
32,2026-03-31,Major Combat,2,6,2,0,0,6,28.571428571428573,226.5,73.30097087378641,10,42,0,25,0,77,2687,1391,7200.0,1200.0,4400000.0,357.0,0.4117647058823529,1,1
33,2026-04-01,Major Combat,10,14,3,5,2,8,38.095238095238095,238.0,77.02265372168284,15,50,2,25,0,92,2752,1416,7500.0,1200.0,4400000.0,360.0,0.5454545454545454,1,1
