outcome,phase_1,phase_2,n_1,mean_1,sd_1,n_2,mean_2,sd_2,mean_diff,diff_ci95_low,diff_ci95_high,welch_t,welch_df,p_raw,hedges_g,p_holm
killed_total,Major Combat,First Ceasefire,40,123.6,47.053052436475824,89,13.651685393258427,21.845064516226078,109.94831460674156,94.27089168832678,125.62573752515634,14.11083364754183,46.72771382068128,1.824889130002054e-18,3.4382094619972503,7.299556520008216e-18
killed_total,Major Combat,Resumption,40,123.6,47.053052436475824,23,1.8695652173913044,3.1378097141750874,121.7304347826087,106.63138950196492,136.82948006325248,16.29927883281768,39.60139334760135,3.684136035555689e-19,3.1915738216243743,1.8420680177778443e-18
killed_total,Major Combat,Diplomatic Pause,40,123.6,47.053052436475824,18,0.6111111111111112,2.592724864350674,122.98888888888888,107.8963077567862,138.08147002099156,16.475850867141652,39.52393061927422,2.6585085706770993e-19,3.08795100264811,1.5951051424062595e-18
killed_total,First Ceasefire,Resumption,89,13.651685393258427,21.845064516226078,23,1.8695652173913044,3.1378097141750874,11.782120175867123,7.008259080106643,16.5559812716276,4.896501041020717,100.06118515838067,3.7517697380967946e-06,0.5973514357587434,7.503539476193589e-06
killed_total,First Ceasefire,Diplomatic Pause,89,13.651685393258427,21.845064516226078,18,0.6111111111111112,2.592724864350674,13.040574282147317,8.288194457315743,17.79295410697889,5.4452454040432645,98.21890445094819,3.821011482027102e-07,0.6465258470563634,1.1463034446081304e-06
killed_total,Resumption,Diplomatic Pause,23,1.8695652173913044,3.1378097141750874,18,0.6111111111111112,2.592724864350674,1.2584541062801933,-0.5526453194100875,3.069553531970474,1.4056446248226733,38.85750715529927,0.16777546359935233,0.4236840048997371,0.16777546359935233
iran_civ,Major Combat,First Ceasefire,40,13.075,8.147321409754628,89,0.0,0.0,13.075,10.469360203453114,15.680639796546885,10.14978502190864,39.0,1.6767514818863008e-12,2.8788496369628,1.0060508891317804e-11
iran_civ,Major Combat,Resumption,40,13.075,8.147321409754628,23,0.8695652173913043,1.7915038838941724,12.205434782608695,9.504411878993677,14.906457686223712,9.099886578072603,45.267272615991075,8.675154847159886e-12,1.825713551667843,3.470061938863954e-11
iran_civ,Major Combat,Diplomatic Pause,40,13.075,8.147321409754628,18,0.0,0.0,13.075,10.469360203453114,15.680639796546885,10.14978502190864,39.0,1.6767514818863008e-12,1.897170556201862,1.0060508891317804e-11
iran_civ,First Ceasefire,Resumption,89,0.0,0.0,23,0.8695652173913043,1.7915038838941724,-0.8695652173913043,-1.6442695909275968,-0.09486084385501181,-2.327814256297667,22.0,0.02951638518088965,-1.0779320298359172,0.08854915554266896
iran_civ,First Ceasefire,Diplomatic Pause,89,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0
iran_civ,Resumption,Diplomatic Pause,23,0.8695652173913043,1.7915038838941724,18,0.0,0.0,0.8695652173913043,0.09486084385501181,1.6442695909275968,2.327814256297667,22.0,0.02951638518088965,0.6337489583042077,0.08854915554266896
leb_all,Major Combat,First Ceasefire,40,44.525,39.12045009179489,89,13.48314606741573,21.74026028506818,31.041853932584267,17.78470210435283,44.2990057608157,4.70272879395572,50.14963102702226,2.046945898057012e-05,1.0927331091898078,4.093891796114024e-05
leb_all,Major Combat,Resumption,40,44.525,39.12045009179489,23,0.043478260869565216,0.2085144140570748,44.481521739130436,31.969925275765746,56.993118202495126,7.191095570370184,39.00385374473095,1.172366122595998e-08,1.404461684606418,7.034196735575988e-08
leb_all,Major Combat,Diplomatic Pause,40,44.525,39.12045009179489,18,0.6111111111111112,2.592724864350674,43.913888888888884,31.349292096558685,56.478485681219084,7.065107316665545,39.7563811306138,1.5732370185578454e-08,1.3257517836377835,7.866185092789227e-08
leb_all,First Ceasefire,Resumption,89,13.48314606741573,21.74026028506818,23,0.043478260869565216,0.2085144140570748,13.439667806546165,8.85926225448502,18.02007335860731,5.8309795131441,88.06261600456759,8.929954152135388e-08,0.6864292425162121,3.571981660854155e-07
leb_all,First Ceasefire,Diplomatic Pause,89,13.48314606741573,21.74026028506818,18,0.6111111111111112,2.592724864350674,12.872034956304619,8.141013400497425,17.603056512111813,5.399082087421869,98.29579657829873,4.654975172890048e-07,0.6412380458541541,1.3964925518670143e-06
leb_all,Resumption,Diplomatic Pause,23,0.043478260869565216,0.2085144140570748,18,0.6111111111111112,2.592724864350674,-0.567632850241546,-1.859236973220262,0.7239712727371701,-0.9265118115343305,17.172196382010778,0.3670193348229925,-0.323832797305167,0.3670193348229925
