period,label,sample,n_days,n_strike_days,strikes_per_day,civ_deaths_per_day,civ_deaths_per_strike_location,damage_pct_mean,pearson_r,pearson_p,spearman_rho,spearman_p,slope,slope_se,slope_ci95_low,slope_ci95_high,slope_p,intercept,r_squared,note
A,Days 1-15: damage 0 -> 31 facilities (<=10% of final),all days in period,15,15,9.0667,18.2,2.0074,5.3506,-0.406,0.1332,-0.3518,0.1985,-1.026,0.6405,-2.4096,0.3576,0.1332,27.5025,0.1649,
A,Days 1-15: damage 0 -> 31 facilities (<=10% of final),strike days only,15,15,9.0667,18.2,2.0074,5.3506,-0.406,0.1332,-0.3518,0.1985,-1.026,0.6405,-2.4096,0.3576,0.1332,27.5025,0.1649,
B,Days 16-39: damage 31 -> 307 facilities (10% -> 99%),all days in period,24,23,6.0,10.375,1.7292,56.5534,0.435,0.0336,0.3781,0.0685,0.4441,0.196,0.0376,0.8506,0.0336,7.7104,0.1892,
B,Days 16-39: damage 31 -> 307 facilities (10% -> 99%),strike days only,23,23,6.2609,10.4783,1.6736,54.8544,0.4184,0.0469,0.3539,0.0976,0.4505,0.2134,0.0067,0.8943,0.0469,7.6579,0.175,
C,Days 40-170: damage 307 -> 309 facilities (about 100%),all days in period,131,51,0.8092,0.1603,0.1981,99.6788,0.5238,0.0,0.3878,0.0,0.2865,0.041,0.2053,0.3677,0.0,-0.0715,0.2744,
C,Days 40-170: damage 307 -> 309 facilities (about 100%),strike days only,51,51,2.0784,0.3922,0.1887,99.671,0.5208,0.0001,0.5084,0.0001,0.3786,0.0887,0.2005,0.5568,0.0001,-0.3948,0.2713,
C-resumption,Days 130-152 (Resumption; inside period C),all days in period,23,16,2.3478,0.8696,0.3704,99.8567,0.4907,0.0174,0.6105,0.002,0.3331,0.1291,0.0647,0.6016,0.0174,0.0874,0.2408,
C-resumption,Days 130-152 (Resumption; inside period C),strike days only,16,16,3.375,1.1875,0.3519,99.8542,0.4268,0.0992,0.6428,0.0072,0.3465,0.1962,-0.0743,0.7674,0.0992,0.0179,0.1822,
all,All days 1-170,all days in period,170,89,2.2706,3.1941,1.4067,85.2675,0.6669,0.0,0.7476,0.0,1.267,0.1092,1.0514,1.4826,0.0,0.3173,0.4447,
all,All days 1-170,strike days only,89,89,4.3371,6.0,1.3834,72.1925,0.5659,0.0,0.7521,0.0,1.2136,0.1896,0.8368,1.5905,0.0,0.7363,0.3202,
