variable_name,variable_label,variable_type,valid_values,missing_code,source_domain,notes
event_id,Event Id,string,,Should not be missing,all,
date,Date,date,,Should not be missing,all,
datetime_utc,Datetime Utc,datetime,,Should not be missing,all,
day_of_conflict,Day Of Conflict,integer,1 – 30,Should not be missing,all,
event_domain,Event Domain,categorical,CYBER | DIPLOMATIC | FINANCIAL | HUMANITARIAN | MILITARY | NAVAL | OTHER | RETALIATION | STRIKE,Should not be missing,all,
event_type,Event Type,categorical,air | airstrike | amphibious | carrier | cyber | daily_casualty_report | destroyer | diplomatic | domestic | economic | financial | ground | humanitarian | infrastructure_damage | littoral_combat_ship | military | missile_attack | operational_loss | political | rocket_attack | submarine | summary,Should not be missing,all,
event_description,Event Description,text,,Should not be missing,all,
source_file,Source File,categorical,carriers.json | casualties.json | infrastructure.json | strikes-iran.json | strikes-retaliation.json | timeline-events.json,Should not be missing,all,
source_record_id,Source Record Id,string,,Should not be missing,all,
location_name,Location Name,string,,Not applicable or not available,multiple,
location_lat,Location Lat,float,-7.32 – 52.39,Not applicable or not available,multiple,
location_lon,Location Lon,float,-118 – 100.3,Not applicable or not available,multiple,
country,Country,categorical,Bahrain | Cyprus | Diego Garcia | International Waters | Iran | Iraq | Israel | Jordan | Kuwait | Lebanon | Oman | Qatar | Saudi Arabia | UAE,Not applicable or not available,multiple,
actor_initiating,Actor Initiating,string,,Not applicable or not available,multiple,
actor_target,Actor Target,string,,Not applicable or not available,multiple,
weapon_system,Weapon System,string,,Not applicable or not available,multiple,
military_asset,Military Asset,string,,Not applicable or not available,multiple,
casualties_reported,Casualties Reported,integer,0 – 122,Not recorded or not applicable,multiple,
casualties_civilian,Casualties Civilian,integer,5 – 45,Not recorded or not applicable,multiple,
casualties_military,Casualties Military,integer,0 – 122,Not recorded or not applicable,multiple,
infrastructure_target_type,Infrastructure Target Type,categorical,air_defense | civilian | communications | healthcare | military_base | nuclear_facility | oil_infrastructure | power_grid | transportation,Not applicable or not available,"infrastructure.json, strikes-iran.json",
financial_metric_name,Financial Metric Name,string,,Not applicable (non-financial event),"oil-prices.json, markets.json, war-costs.json, baselines.json",
financial_metric_value,Financial Metric Value,float,,Not applicable (non-financial event),"oil-prices.json, markets.json, war-costs.json, baselines.json",
financial_metric_unit,Financial Metric Unit,categorical,,Not applicable (non-financial event),"oil-prices.json, markets.json, war-costs.json, baselines.json",
escalation_level,Escalation Level,string,,Not applicable or not available,multiple,
data_confidence,Data Confidence,categorical,HIGH | LOW | MEDIUM,Not applicable or not available,multiple,
timeline_source,Timeline Source,string,,Not applicable (non-timeline event),timeline-events.json,
timeline_data_point,Timeline Data Point,string,,Not applicable (non-timeline event),timeline-events.json,
strike_notes,Strike Notes,text,,Not applicable (non-strike event),"strikes-iran.json, strikes-retaliation.json",
strike_verified,Strike Verified,boolean,,Not applicable (non-strike event),"strikes-iran.json, strikes-retaliation.json",
naval_strike_group,Naval Strike Group,string,,Not applicable (non-naval event),carriers.json,
naval_aircraft,Naval Aircraft,text,,Not applicable (non-naval event),carriers.json,
naval_escorts,Naval Escorts,text,,Not applicable (non-naval event),carriers.json,
infrastructure_damage_count,Infrastructure Damage Count,integer,1 – 44,Not applicable or not available,"infrastructure.json, strikes-iran.json",
snapshot_brent,Snapshot Brent,float,,Not available for this day,hero-stats.json,
snapshot_wti,Snapshot Wti,float,,Not available for this day,hero-stats.json,
snapshot_gas,Snapshot Gas,float,,Not available for this day,hero-stats.json,
snapshot_sp500,Snapshot Sp500,float,,Not available for this day,hero-stats.json,
snapshot_daily_cost_millions,Snapshot Daily Cost Millions,float,,Not available for this day,hero-stats.json,
snapshot_total_cost_billions,Snapshot Total Cost Billions,float,,Not available for this day,hero-stats.json,
snapshot_targets_struck,Snapshot Targets Struck,float,,Not available for this day,hero-stats.json,
snapshot_us_kia,Snapshot Us Kia,float,,Not available for this day,hero-stats.json,
snapshot_us_wia,Snapshot Us Wia,float,,Not available for this day,hero-stats.json,
snapshot_iranian_killed,Snapshot Iranian Killed,float,,Not available for this day,hero-stats.json,
snapshot_lebanese_killed,Snapshot Lebanese Killed,float,,Not available for this day,hero-stats.json,
snapshot_displaced,Snapshot Displaced,float,,Not available for this day,hero-stats.json,
snapshot_flights_cancelled,Snapshot Flights Cancelled,float,,Not available for this day,hero-stats.json,
snapshot_children_killed,Snapshot Children Killed,float,,Not available for this day,hero-stats.json,
